name,age,position,Country,MarketValue,PreviousTeam,LeagueOfPreviousTeam,CountryOfPreviousTeam,Fee,YearOfTranfert,NewTeam,LeagueOfNewTeam,CountryOfNewTeam,Height,Agent,JoinedCurrentTeam,ContratExpires,Squad,Appearances,PPG,Goals,Assists,OwnGoals,SubsON,SubsOFF,YellowCards,SecondYellowCards,RedCards,PenaltyGoals,MinutesPerGoal,MinutesPlayed,PlaceOfBirth,DateOfBirth
Santiago Cáseres ,22,Defensive Midfield,Argentina,€6.00m,Villarreal CF,LaLiga,Spain,loan transfer,2019,CF América,Liga MX Clausura,Mexico,"1,79 m",NONE,"Feb 19, 2022","Dec 31, 2024",11,10,1.60,0,1,0,3,2,1,0,1,0,0,639',                                    Parque Leloir                                ,"                                Feb 25, 1997                                                                    (26)                                                            "
Ianis Hagi ,21,Attacking Midfield,Romania,€6.00m,KRC Genk,Jupiler Pro League,Belgium,loan transfer,2019,Rangers FC,Premiership,Scotland,"1,82 m",NONE,"Jul 1, 2020","Jun 30, 2026",44,32,1.25,6,6,0,16,13,2,0,0,2,255',1.530',                                    Istanbul                                ,"                                Oct 22, 1998                                                                    (24)                                                            "
Lucas Castro ,30,Attacking Midfield,Argentina,€6.00m,Cagliari Calcio,Serie A,Italy,loan transfer,2019,SPAL,Serie A,Italy,"1,82 m",NONE,"Jan 1, 2023","Dec 31, 2023",33,24,1.29,2,0,0,10,13,2,0,0,0,575',1.150',                                    La Plata                                ,"                                Apr 9, 1989                                                                    (33)                                                            "
Michael Hector ,27,Centre-Back,Jamaica,€3.00m,Chelsea FC,Premier League,England,€5.90m,2019,Fulham FC,Championship,England,"1,93 m",NONE,"Jan 31, 2023","Jun 30, 2023",27,27,1.85,0,3,0,0,0,4,0,0,0,0,2.460',                                    London                                ,"                                Jul 19, 1992                                                                    (30)                                                            "
Bryan Angulo ,23,Centre-Forward,Ecuador,€2.50m,CS Emelec,LigaPro Serie A,Ecuador,€5.80m,2019,CD Cruz Azul,Liga MX Clausura,Mexico,"1,83 m",IMAGESPORT ,"Jan 3, 2023","Dec 31, 2024",28,23,1.43,6,0,0,12,6,0,0,0,1,179',1.073',                                    Guayaquil                                ,"                                Nov 30, 1995                                                                    (27)                                                            "
Luke Freeman ,27,Attacking Midfield,England,€3.50m,Queens Park Rangers,Championship,England,€5.60m,2019,Sheffield United,Premier League,England,"1,76 m",NONE,"Jul 4, 2022",-,30,16,1.63,0,2,0,9,4,2,0,0,0,0,769',                                    Dartford                                ,"                                Mar 22, 1992                                                                    (31)                                                            "
Vedat Muriqi ,25,Centre-Forward,Kosovo,€2.50m,Caykur Rizespor,Süper Lig,Turkey,€5.60m,2019,Fenerbahce,Süper Lig,Turkey,"1,94 m",FutureBall ,"Jul 22, 2022","Jun 30, 2027",40,36,1.47,17,7,0,3,2,3,1,1,3,173',2.939',                                    Prizren                                ,"                                Apr 24, 1994                                                                    (28)                                                            "
Manu Vallejo ,22,Left Winger,Spain,€5.00m,Cádiz CF,LaLiga SmartBank,Spain,€5.50m,2019,Valencia CF,LaLiga,Spain,"1,67 m",Promoesport ,"Jan 27, 2023","Jun 30, 2023",26,13,1.92,2,0,0,10,3,1,0,0,0,242',484',Chiclana de la ... ,"                                Feb 14, 1997                                                                    (26)                                                            "
Renzo Saravia ,26,Right-Back,Argentina,€5.00m,Racing Club,Superliga,Argentina,€5.50m,2019,FC Porto,Liga NOS,Portugal,"1,78 m",NONE,"Feb 16, 2023","Jul 31, 2023",29,22,2.05,1,2,0,0,3,3,0,1,0,1.778',1.778',                                    Villa de María                                ,"                                Jun 16, 1993                                                                    (29)                                                            "
Ronaël Pierre-Gabriel ,21,Right-Back,France,€4.00m,AS Monaco,Ligue 1,Monaco,€5.50m,2019,1.FSV Mainz 05,Bundesliga,Germany,"1,77 m",NONE,"Jan 18, 2023","Jun 30, 2023",20,8,0.50,0,1,0,0,5,3,0,0,0,0,578',                                    Paris                                ,"                                Jun 13, 1998                                                                    (24)                                                            "
Carlos Gruezo ,24,Defensive Midfield,Ecuador,€2.00m,FC Dallas,MLS,United States,€5.50m,2019,FC Augsburg,Bundesliga,Germany,"1,72 m",Seth Sports ,"Jan 31, 2023","Dec 31, 2025",20,12,0.83,0,1,0,1,3,4,0,0,0,0,978',                                    Santo Domingo                                ,"                                Apr 19, 1995                                                                    (27)                                                            "
Elkeson ,29,Centre-Forward,China,€4.50m,Shanghai SIPG,Super League,China,€5.50m,2019,Guangzhou Evergrande Taobao,Super League,China,"1,80 m",NONE,GuaZ FC,"                                    Jan 1, 2023                                ",23,23,2.17,7,5,0,5,7,0,0,0,4,230',1.612',                                    Coelho Neto                                ,"                                Jul 13, 1989                                                                    (33)                                                            "
Sada Thioub ,24,Right Winger,Senegal,€5.50m,Nîmes Olympique,Ligue 1,France,€3.50m,2019,Angers SCO,Ligue 1,France,"1,79 m",NONE,"Jul 23, 2019","Jun 30, 2023",29,27,1.33,3,2,0,10,6,4,0,0,0,589',1.768',                                    Nanterre                                ,"                                Jun 1, 1995                                                                    (27)                                                            "
Nikolay Komlichenko ,24,Centre-Forward,Russia,€5.50m,FK Mlada Boleslav,Fortuna Liga,Czech Republic,€3.50m,2019,Dinamo Moscow,Premier Liga,Russia,"1,93 m",NONE,"Jul 9, 2022","Jun 30, 2026",31,31,1.81,16,6,0,4,11,10,1,0,5,146',2.334',"Plastunovskaya, ... ","                                Jun 29, 1995                                                                    (27)                                                            "
Chang-hoon Kwon ,25,Right Winger,"Korea, South",€5.50m,Dijon FCO,Ligue 1,France,€2.00m,2019,SC Freiburg,Bundesliga,Germany,"1,73 m",Apertura Sports GmbH ,"Dec 27, 2021","Jun 26, 2023",33,23,1.26,2,1,0,17,5,0,0,0,0,333',665',                                    Seoul                                ,"                                Jun 30, 1994                                                                    (28)                                                            "
Matheus Pereira ,23,Attacking Midfield,Brazil,€5.50m,Sporting CP,Liga NOS,Portugal,Loan fee:€800k,2019,West Bromwich Albion,Championship,England,"1,75 m",NONE,"Jan 22, 2023","Jun 30, 2023",43,43,1.77,8,20,0,5,15,6,0,0,0,426',3.406',                                    Belo Horizonte                                ,"                                May 5, 1996                                                                    (26)                                                            "
Charles Kaboré ,31,Defensive Midfield,Burkina Faso,€5.50m,FK Krasnodar,Premier Liga,Russia,free transfer,2019,Dinamo Moscow,Premier Liga,Russia,"1,81 m",NONE,"Jul 1, 2022",-,23,21,1.19,0,0,0,6,4,7,1,0,0,0,1.368',                                    Bobo-Dioulasso                                ,"                                Feb 9, 1988                                                                    (35)                                                            "
Jordy Clasie ,28,Defensive Midfield,Netherlands,€5.50m,Southampton FC,Premier League,England,free transfer,2019,AZ Alkmaar,Eredivisie,Netherlands,"1,69 m",NONE,"Jul 22, 2019","Jun 30, 2024",41,32,2.13,0,0,0,17,2,4,0,1,0,0,1.552',                                    Haarlem                                ,"                                Jun 27, 1991                                                                    (31)                                                            "
Cristian Benavente ,25,Attacking Midfield,Peru,€5.50m,Pyramids FC,Premier League,Egypt,loan transfer,2019,FC Nantes,Ligue 1,France,"1,73 m",NONE,"Feb 9, 2022","Dec 31, 2023",25,13,1.38,0,1,0,8,5,0,0,0,0,0,406',                                    Alcalá de Henares                                ,"                                May 19, 1994                                                                    (28)                                                            "
